current,total,id,name,firstname,lastname,age,date,place,country,nationality,height,weight,injured,photo
41,42,2298,C. Hudson-Odoi,Callum James,Hudson-Odoi,24,2000-11-07,,England,England,182 cm,76 kg,false,https://media.api-sports.io/football/players/2298.png
41,42,2910,Hwang Ui-Jo,Ui-Jo,Hwang,32,1992-08-28,Seongnam,Korea Republic,Korea Republic,185 cm,78 kg,false,https://media.api-sports.io/football/players/2910.png
41,42,2999,J. Bednarek,Jan Kacper,Bednarek,28,1996-04-12,Słupca,Poland,Poland,189 cm,84 kg,false,https://media.api-sports.io/football/players/2999.png
41,42,18935,A. McCarthy,Alex Simon,McCarthy,35,1989-12-03,Guildford,England,England,193 cm,79 kg,false,https://media.api-sports.io/football/players/18935.png
41,42,18940,J. Stephens,Jack,Stephens,30,1994-01-27,Plymouth,England,England,185 cm,75 kg,false,https://media.api-sports.io/football/players/18940.png
41,42,19573,J. Lumley,Joseph Patrick,Lumley,29,1995-02-15,Harlow,England,England,191 cm,73 kg,false,https://media.api-sports.io/football/players/19573.png
41,42,19719,J. Bree,James Patrick,Bree,27,1997-12-11,Wakefield,England,England,178 cm,74 kg,false,https://media.api-sports.io/football/players/19719.png
41,42,25061,A. Bella-Kotchap,Armel,Bella-Kotchap,23,2001-12-11,Paris,France,Germany,190 cm,87 kg,false,https://media.api-sports.io/football/players/25061.png
41,42,40165,M. Lis,Mateusz,Lis,27,1997-02-27,Żary,Poland,Poland,192 cm,83 kg,false,https://media.api-sports.io/football/players/40165.png
41,42,105971,G. Bazunu,Gavin Okeroghene,Bazunu,22,2002-02-20,Dublin,Republic of Ireland,Republic of Ireland,189 cm,79 kg,false,https://media.api-sports.io/football/players/105971.png
41,42,129712,A. Mighten,Alexander Cole,Mighten,22,2002-04-11,,England,England,172 cm,70 kg,false,https://media.api-sports.io/football/players/129712.png
41,42,153430,A. Elanga,Anthony David,Junior Elanga,22,2002-04-27,Malmö,Sweden,Sweden,178 cm,70 kg,false,https://media.api-sports.io/football/players/153430.png
41,42,159420,R. Edwards,Ronnie,Lee Edwards,21,2003-03-28,Harlow,England,England,,,false,https://media.api-sports.io/football/players/159420.png
41,42,284264,Juan Larios,Juan,Larios López,20,2004-01-12,Tomares,Spain,Spain,170 cm,,false,https://media.api-sports.io/football/players/284264.png
41,42,327602,D. Osong,Detlef Esapa,Osong,20,2004-09-21,,England,England,,,false,https://media.api-sports.io/football/players/327602.png
41,42,327604,J. Gardner,Joseph Charles,Gardner,19,2005-06-06,,England,England,,,false,https://media.api-sports.io/football/players/327604.png
41,42,339138,D. Taylor,Dale,Taylor,21,2003-12-12,,Northern Ireland,Northern Ireland,,,false,https://media.api-sports.io/football/players/339138.png
41,42,380492,E. da Silva Moreira,Eric Emanuel,da Silva Moreira,18,2006-05-03,,Germany,Germany,185 cm,,false,https://media.api-sports.io/football/players/380492.png
42,42,80,E. Dennis,Emmanuel Bonaventure,Dennis,27,1997-11-15,Abuja,Nigeria,Nigeria,175 cm,67 kg,false,https://media.api-sports.io/football/players/80.png
42,42,279,L. Mbe Soh,Loïc Junior,Mbe Soh,23,2001-06-13,Souza Gare,Cameroon,France,186 cm,81 kg,false,https://media.api-sports.io/football/players/279.png
42,42,289,A. Robertson,Andrew Henry,Robertson,30,1994-03-11,Glasgow,Scotland,Scotland,178 cm,64 kg,false,https://media.api-sports.io/football/players/289.png
42,42,2298,C. Hudson-Odoi,Callum James,Hudson-Odoi,24,2000-11-07,,England,England,182 cm,76 kg,false,https://media.api-sports.io/football/players/2298.png
42,42,2807,R. Freuler,Remo Marco,Freuler,32,1992-04-15,Ennenda,Switzerland,Switzerland,180 cm,77 kg,false,https://media.api-sports.io/football/players/2807.png
42,42,6056,N. Domínguez,Nicolás Martín,Domínguez,26,1998-06-28,Buenos Aires,Argentina,Argentina,179 cm,73 kg,false,https://media.api-sports.io/football/players/6056.png
42,42,8598,T. Awoniyi,Taiwo Micheal,Awoniyi,27,1997-08-12,Ilorin,Nigeria,Nigeria,183 cm,84 kg,false,https://media.api-sports.io/football/players/8598.png
42,42,18746,M. Gibbs-White,Morgan Anthony,Gibbs-White,24,2000-01-27,,England,England,171 cm,,false,https://media.api-sports.io/football/players/18746.png
42,42,18904,J. Shelvey,Jonjo,Shelvey,32,1992-02-27,London,England,England,184 cm,80 kg,false,https://media.api-sports.io/football/players/18904.png
42,42,18931,C. Wood,Christopher Grant,Wood,33,1991-12-07,Auckland,New Zealand,New Zealand,191 cm,81 kg,false,https://media.api-sports.io/football/players/18931.png
42,42,19305,R. Yates,Ryan James,Yates,27,1997-11-21,Nottingham,England,England,190 cm,87 kg,false,https://media.api-sports.io/football/players/19305.png
